fecha,orden,grupo,centro_de_costo,capitulo,descripcion,unidad_funcional,proyecto,elemento,abs_inicial,abs_final,liberacion,acta,unidad_medida,largo,espesor,fc,cantidad,observacion,id_registro
2026-08-25,14,TIERRAS,3701.02.08,EXPLANACIONES,Conformación y disposición de sobrantes (incluye obras de adecuación),UF1,3701,RCD 15+800,15800,15800,CAMPO,23,m3,210,1,1.3,161.53846153846152,,xls-4057
2026-08-26,82,TIERRAS,3702.02.05,EXPLANACIONES,Excavaciones en material común APROVECHABLE,UF2,3702,tm2 pk 35+700 - 36+399,35700,36399,CAMPO,23,m3,182,1,1.3,140,[Clima: Soleado],xls-4058
2026-09-13,82,TIERRAS,3702.02.05,EXPLANACIONES,Excavaciones en material común NO APROVECHABLE,UF2,3702,tm2 pk 36+399 - 36+555,36399,36555,CAMPO,23,m3,602.16,1,1.3,463.19999999999993,,xls-4059
2026-08-26,86,TIERRAS,3702.02.08,EXPLANACIONES,Conformación y disposición de sobrantes (incluye obras de adecuación),UF2,3702,ZODME PK30,30000,30000,CAMPO,23,m3,98,1,1.3,75.38461538461539,,xls-4060
2026-08-26,13,TIERRAS,3701.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF1,3701,tm2 pk 14+225 - 14+635,14225,14635,CAMPO,23,m3,98,1,1.3,75.38461538461539,,xls-4061
2026-08-26,85,TIERRAS,3702.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF2,3702,tm2 pk 39+200 - 39+560,39200,39560,CAMPO,23,m3,70,1,1.3,53.84615384615385,,xls-4062
2026-08-26,85,TIERRAS,3702.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF2,3702,tm2 pk 32+508 - 33+090,32508,33090,CAMPO,23,m3,14,1,1.3,10.769230769230768,,xls-4063
2026-08-26,149,TIERRAS,3701.05.04,ESTRUCTURAS,Relleno para muros de tierra MSR,UF1,3701,MSR 14+300,14300,14500,CAMPO,23,M3,84,1,1,84,,xls-4064
2026-08-26,59,DRENAJES Y ESTRUCTURAS,3701.07.01,DRENAJE LONGITUDINAL,Excavaciones varias sin clasicar ODL,UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,4,1,1.3,3.0769230769230766,,xls-4065
2026-08-26,102,DRENAJES Y ESTRUCTURAS,3702.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF2,3702,ODT2-044,39394,39394,CAMPO,23,m3,300,1,1.3,230.76923076923077,,xls-4066
2026-08-26,108,DRENAJES Y ESTRUCTURAS,3702.06.07,DRENAJE TRANSVERSAL,"Concreto clase 14 MPA (solados, estructuras)",UF2,3702,ODT2-044,39394,39394,CAMPO,23,m3,5.5,1,1,5.5,,xls-4067
2026-08-26,102,DRENAJES Y ESTRUCTURAS,3702.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF2,3702,ODT2-041,38344,38344,CAMPO,23,m3,300,1,1.3,230.76923076923077,,xls-4068
2026-08-26,33,DRENAJES Y ESTRUCTURAS,3701.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF1,3701,ODT1-047,20108,20108,CAMPO,23,kg,160,1,1,160,,xls-4069
2026-08-26,38,DRENAJES Y ESTRUCTURAS,3701.06.09,DRENAJE TRANSVERSAL,"Concreto clase  28 MPA (encoles, descoles, box, sumideros)",UF1,3701,ODT1-048,20219,20219,CAMPO,23,m3,5.1,1,1,5.1,,xls-4070
2026-08-26,38,DRENAJES Y ESTRUCTURAS,3701.06.09,DRENAJE TRANSVERSAL,"Concreto clase  28 MPA (encoles, descoles, box, sumideros)",UF1,3701,ODT1-070,25564,25564,CAMPO,23,m3,4.5,1,1,4.5,,xls-4071
2026-08-26,30,DRENAJES Y ESTRUCTURAS,3701.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF1,3701,ODT1-071,25699,25699,CAMPO,23,m3,20,1,1.3,15.384615384615383,,xls-4072
2026-08-27,91,TIERRAS,3702.03.03,"BASES, SUBBASES Y AFIRMADOS ",Base granular estabilizada con cemento (No incluye cemento),UF2,3702,tm2 pk 36+555 - 37+080,36555,37080,CAMPO,23,m3,771.46,1,1.3,593.4307692307692,[Clima: Soleado],xls-4073
2026-08-27,90,TIERRAS,3702.03.01,"BASES, SUBBASES Y AFIRMADOS ",Subbase Granular,UF2,3702,tm2 pk 36+555 - 37+080,36555,37080,CAMPO,23,m3,212.3,1,1.3,163.30769230769232,,xls-4074
2026-08-27,90,TIERRAS,3702.03.01,"BASES, SUBBASES Y AFIRMADOS ",Subbase Granular,UF2,3702,tm2 pk 38+064 - 38+864,38064,38864,CAMPO,23,m3,324.59,1,1.3,249.68461538461537,,xls-4075
